,gene,pvalue,effet
2867,ECH3937_v6b_ABF-0018914,0,Activation
3746,ECH3937_v6b_ABF-0020242,0,Activation
4250,ECH3937_v6b_ABF-0046648,0,Activation
4521,ECH3937_v6b_ABF-0047184,0,Activation
2163,ECH3937_v6b_ABF-0017878,2.22044604925031e-16,Activation
4198,ECH3937_v6b_ABF-0046528,2.22044604925031e-16,Activation
17,ECH3937_v6b_ABF-0014520,4.44089209850063e-16,Repression
2149,ECH3937_v6b_ABF-0017858,4.44089209850063e-16,Activation
3873,ECH3937_v6b_ABF-0020435,4.44089209850063e-16,Repression
4302,ECH3937_v6b_ABF-0046755,8.88178419700125e-16,Activation
4349,ECH3937_v6b_ABF-0046884,8.88178419700125e-16,Activation
152,ECH3937_v6b_ABF-0014797,1.33226762955019e-15,Activation
942,ECH3937_v6b_ABF-0016041,1.33226762955019e-15,Activation
1060,ECH3937_v6b_ABF-0016224,1.33226762955019e-15,Activation
2390,ECH3937_v6b_ABF-0018206,1.33226762955019e-15,Activation
4380,ECH3937_v6b_ABF-0046939,1.33226762955019e-15,Activation
377,ECH3937_v6b_ABF-0015126,1.77635683940025e-15,Activation
1837,ECH3937_v6b_ABF-0017399,1.77635683940025e-15,Activation
2899,ECH3937_v6b_ABF-0018959,1.77635683940025e-15,Activation
4474,ECH3937_v6b_ABF-0047105,1.77635683940025e-15,Activation
2182,ECH3937_v6b_ABF-0017912,2.22044604925031e-15,Activation
3345,ECH3937_v6b_ABF-0019633,2.44249065417534e-15,Activation
4110,ECH3937_v6b_ABF-0020771,2.44249065417534e-15,Activation
1856,ECH3937_v6b_ABF-0017428,2.88657986402541e-15,Activation
117,ECH3937_v6b_ABF-0014743,3.10862446895044e-15,Activation
1264,ECH3937_v6b_ABF-0016548,3.10862446895044e-15,Repression
529,ECH3937_v6b_ABF-0015464,3.33066907387547e-15,Activation
82,ECH3937_v6b_ABF-0014645,3.5527136788005e-15,Activation
3787,ECH3937_v6b_ABF-0020305,3.99680288865056e-15,Activation
1431,ECH3937_v6b_ABF-0016796,4.21884749357559e-15,Activation
3761,ECH3937_v6b_ABF-0020265,4.44089209850063e-15,Activation
3605,ECH3937_v6b_ABF-0020036,4.66293670342566e-15,Activation
1728,ECH3937_v6b_ABF-0017243,4.88498130835069e-15,Activation
4080,ECH3937_v6b_ABF-0020724,4.88498130835069e-15,Activation
4062,ECH3937_v6b_ABF-0020697,5.32907051820075e-15,Activation
1677,ECH3937_v6b_ABF-0017172,5.99520433297585e-15,Activation
2170,ECH3937_v6b_ABF-0017887,6.21724893790088e-15,Activation
4156,ECH3937_v6b_ABF-0020828,6.21724893790088e-15,Activation
3984,ECH3937_v6b_ABF-0020582,6.66133814775094e-15,Activation
3808,ECH3937_v6b_ABF-0020341,6.88338275267597e-15,Activation
850,ECH3937_v6b_ABF-0015912,7.54951656745106e-15,Activation
4132,ECH3937_v6b_ABF-0020797,8.43769498715119e-15,Activation
4248,ECH3937_v6b_ABF-0046646,8.43769498715119e-15,Activation
2693,ECH3937_v6b_ABF-0018654,9.76996261670138e-15,Activation
1657,ECH3937_v6b_ABF-0017142,1.11022302462516e-14,Activation
2608,ECH3937_v6b_ABF-0018526,1.15463194561016e-14,Activation
81,ECH3937_v6b_ABF-0014644,1.24344978758018e-14,Activation
1044,ECH3937_v6b_ABF-0016202,1.24344978758018e-14,Activation
2483,ECH3937_v6b_ABF-0018348,1.28785870856518e-14,Activation
549,ECH3937_v6b_ABF-0015488,1.46549439250521e-14,Activation
1444,ECH3937_v6b_ABF-0016814,1.53210777398272e-14,Activation
3962,ECH3937_v6b_ABF-0020555,1.55431223447522e-14,Activation
781,ECH3937_v6b_ABF-0015827,1.73194791841524e-14,Activation
3634,ECH3937_v6b_ABF-0020077,1.73194791841524e-14,Activation
4358,ECH3937_v6b_ABF-0046898,1.73194791841524e-14,Activation
2643,ECH3937_v6b_ABF-0018573,1.95399252334028e-14,Activation
2266,ECH3937_v6b_ABF-0018025,2.02060590481778e-14,Activation
1971,ECH3937_v6b_ABF-0017602,2.08721928629529e-14,Activation
4139,ECH3937_v6b_ABF-0020806,2.08721928629529e-14,Activation
766,ECH3937_v6b_ABF-0015802,2.59792187762287e-14,Activation
481,ECH3937_v6b_ABF-0015384,2.62012633811537e-14,Activation
747,ECH3937_v6b_ABF-0015773,2.66453525910038e-14,Activation
1663,ECH3937_v6b_ABF-0017153,2.66453525910038e-14,Activation
3511,ECH3937_v6b_ABF-0019909,2.66453525910038e-14,Activation
3772,ECH3937_v6b_ABF-0020287,2.75335310107039e-14,Activation
4475,ECH3937_v6b_ABF-0047106,2.8421709430404e-14,Activation
4045,ECH3937_v6b_ABF-0020674,2.99760216648792e-14,Activation
475,ECH3937_v6b_ABF-0015313,3.24185123190546e-14,Activation
2606,ECH3937_v6b_ABF-0018523,3.24185123190546e-14,Activation
4165,ECH3937_v6b_ABF-0020846,3.46389583683049e-14,Activation
1368,ECH3937_v6b_ABF-0016703,3.59712259978551e-14,Activation
3514,ECH3937_v6b_ABF-0019913,3.64153152077051e-14,Activation
689,ECH3937_v6b_ABF-0015685,3.79696274421804e-14,Activation
2133,ECH3937_v6b_ABF-0017835,3.81916720471054e-14,Activation
2385,ECH3937_v6b_ABF-0018200,3.81916720471054e-14,Repression
2573,ECH3937_v6b_ABF-0018483,3.81916720471054e-14,Activation
452,ECH3937_v6b_ABF-0015232,4.19664303308309e-14,Activation
2996,ECH3937_v6b_ABF-0019116,4.19664303308309e-14,Activation
941,ECH3937_v6b_ABF-0016040,4.35207425653061e-14,Activation
1717,ECH3937_v6b_ABF-0017228,4.39648317751562e-14,Activation
1901,ECH3937_v6b_ABF-0017503,4.39648317751562e-14,Activation
849,ECH3937_v6b_ABF-0015911,4.48530101948563e-14,Activation
2395,ECH3937_v6b_ABF-0018213,4.50750547997814e-14,Activation
230,ECH3937_v6b_ABF-0014917,4.52970994047064e-14,Activation
708,ECH3937_v6b_ABF-0015711,4.79616346638068e-14,Repression
1727,ECH3937_v6b_ABF-0017242,4.79616346638068e-14,Activation
1349,ECH3937_v6b_ABF-0016679,4.81836792687318e-14,Activation
2280,ECH3937_v6b_ABF-0018045,5.04041253179821e-14,Activation
4010,ECH3937_v6b_ABF-0020612,5.21804821573824e-14,Activation
2183,ECH3937_v6b_ABF-0017915,6.01740879346835e-14,Activation
1759,ECH3937_v6b_ABF-0017282,6.08402217494586e-14,Activation
2866,ECH3937_v6b_ABF-0018913,6.12843109593086e-14,Activation
1348,ECH3937_v6b_ABF-0016678,6.30606677987089e-14,Activation
1840,ECH3937_v6b_ABF-0017403,6.30606677987089e-14,Activation
1018,ECH3937_v6b_ABF-0016163,6.3948846218409e-14,Activation
4416,ECH3937_v6b_ABF-0046998,6.48370246381091e-14,Activation
4216,ECH3937_v6b_ABF-0046553,6.59472476627343e-14,Activation
