,gene,pvalue,effet
1,ECH3937_v6b_ABF-0014493,0,Repression
11,ECH3937_v6b_ABF-0014508,0,Repression
16,ECH3937_v6b_ABF-0014519,0,Repression
17,ECH3937_v6b_ABF-0014520,0,Repression
18,ECH3937_v6b_ABF-0014523,0,Repression
20,ECH3937_v6b_ABF-0014527,0,Repression
25,ECH3937_v6b_ABF-0014533,0,Repression
26,ECH3937_v6b_ABF-0014534,0,Repression
36,ECH3937_v6b_ABF-0014551,0,Repression
38,ECH3937_v6b_ABF-0014554,0,Repression
39,ECH3937_v6b_ABF-0014556,0,Repression
56,ECH3937_v6b_ABF-0014584,0,Repression
64,ECH3937_v6b_ABF-0014601,0,Repression
67,ECH3937_v6b_ABF-0014607,0,Repression
68,ECH3937_v6b_ABF-0014611,0,Repression
77,ECH3937_v6b_ABF-0014633,0,Repression
80,ECH3937_v6b_ABF-0014642,0,Repression
92,ECH3937_v6b_ABF-0014666,0,Repression
117,ECH3937_v6b_ABF-0014743,0,Activation
127,ECH3937_v6b_ABF-0014764,0,Repression
129,ECH3937_v6b_ABF-0014766,0,Repression
136,ECH3937_v6b_ABF-0014775,0,Repression
138,ECH3937_v6b_ABF-0014777,0,Repression
140,ECH3937_v6b_ABF-0014780,0,Repression
141,ECH3937_v6b_ABF-0014781,0,Repression
152,ECH3937_v6b_ABF-0014797,0,Activation
153,ECH3937_v6b_ABF-0014798,0,Activation
208,ECH3937_v6b_ABF-0014882,0,Repression
209,ECH3937_v6b_ABF-0014883,0,Repression
210,ECH3937_v6b_ABF-0014884,0,Repression
211,ECH3937_v6b_ABF-0014887,0,Repression
212,ECH3937_v6b_ABF-0014888,0,Repression
214,ECH3937_v6b_ABF-0014892,0,Repression
215,ECH3937_v6b_ABF-0014893,0,Repression
236,ECH3937_v6b_ABF-0014924,0,Repression
239,ECH3937_v6b_ABF-0014929,0,Repression
240,ECH3937_v6b_ABF-0014930,0,Repression
247,ECH3937_v6b_ABF-0014941,0,Repression
248,ECH3937_v6b_ABF-0014942,0,Repression
249,ECH3937_v6b_ABF-0014943,0,Repression
250,ECH3937_v6b_ABF-0014944,0,Repression
251,ECH3937_v6b_ABF-0014946,0,Repression
252,ECH3937_v6b_ABF-0014947,0,Repression
255,ECH3937_v6b_ABF-0014951,0,Repression
256,ECH3937_v6b_ABF-0014954,0,Repression
258,ECH3937_v6b_ABF-0014956,0,Repression
283,ECH3937_v6b_ABF-0014993,0,Repression
284,ECH3937_v6b_ABF-0014994,0,Repression
285,ECH3937_v6b_ABF-0014995,0,Repression
287,ECH3937_v6b_ABF-0014998,0,Repression
295,ECH3937_v6b_ABF-0015009,0,Repression
296,ECH3937_v6b_ABF-0015010,0,Repression
297,ECH3937_v6b_ABF-0015011,0,Repression
301,ECH3937_v6b_ABF-0015015,0,Repression
320,ECH3937_v6b_ABF-0015043,0,Repression
325,ECH3937_v6b_ABF-0015052,0,Repression
327,ECH3937_v6b_ABF-0015054,0,Repression
347,ECH3937_v6b_ABF-0015076,0,Repression
350,ECH3937_v6b_ABF-0015081,0,Repression
352,ECH3937_v6b_ABF-0015084,0,Repression
361,ECH3937_v6b_ABF-0015099,0,Repression
379,ECH3937_v6b_ABF-0015129,0,Repression
391,ECH3937_v6b_ABF-0015152,0,Repression
392,ECH3937_v6b_ABF-0015153,0,Repression
393,ECH3937_v6b_ABF-0015154,0,Repression
397,ECH3937_v6b_ABF-0015162,0,Repression
398,ECH3937_v6b_ABF-0015163,0,Repression
399,ECH3937_v6b_ABF-0015164,0,Repression
400,ECH3937_v6b_ABF-0015165,0,Repression
402,ECH3937_v6b_ABF-0015167,0,Repression
406,ECH3937_v6b_ABF-0015173,0,Repression
408,ECH3937_v6b_ABF-0015177,0,Repression
417,ECH3937_v6b_ABF-0015188,0,Activation
419,ECH3937_v6b_ABF-0015193,0,Repression
426,ECH3937_v6b_ABF-0015201,0,Repression
470,ECH3937_v6b_ABF-0015273,0,Repression
479,ECH3937_v6b_ABF-0015381,0,Repression
480,ECH3937_v6b_ABF-0015382,0,Repression
496,ECH3937_v6b_ABF-0015415,0,Repression
512,ECH3937_v6b_ABF-0015440,0,Repression
521,ECH3937_v6b_ABF-0015455,0,Activation
527,ECH3937_v6b_ABF-0015461,0,Repression
557,ECH3937_v6b_ABF-0015506,0,Repression
558,ECH3937_v6b_ABF-0015508,0,Repression
