,gene,pvalue,effet
248,ECH3937_v6b_ABF-0014942,0,Repression
391,ECH3937_v6b_ABF-0015152,0,Repression
406,ECH3937_v6b_ABF-0015173,0,Repression
1264,ECH3937_v6b_ABF-0016548,0,Repression
2385,ECH3937_v6b_ABF-0018200,0,Repression
4250,ECH3937_v6b_ABF-0046648,0,Activation
212,ECH3937_v6b_ABF-0014888,2.22044604925031e-16,Repression
2482,ECH3937_v6b_ABF-0018347,2.22044604925031e-16,Repression
708,ECH3937_v6b_ABF-0015711,8.88178419700125e-16,Repression
2867,ECH3937_v6b_ABF-0018914,1.33226762955019e-15,Activation
3873,ECH3937_v6b_ABF-0020435,1.77635683940025e-15,Repression
1560,ECH3937_v6b_ABF-0016991,1.99840144432528e-15,Repression
2415,ECH3937_v6b_ABF-0018246,2.22044604925031e-15,Repression
17,ECH3937_v6b_ABF-0014520,2.44249065417534e-15,Repression
3482,ECH3937_v6b_ABF-0019861,2.66453525910038e-15,Repression
3646,ECH3937_v6b_ABF-0020094,2.88657986402541e-15,Repression
1561,ECH3937_v6b_ABF-0016992,3.10862446895044e-15,Repression
1423,ECH3937_v6b_ABF-0016785,3.5527136788005e-15,Repression
3264,ECH3937_v6b_ABF-0019508,3.77475828372553e-15,Repression
285,ECH3937_v6b_ABF-0014995,3.99680288865056e-15,Repression
1387,ECH3937_v6b_ABF-0016734,4.44089209850063e-15,Repression
1422,ECH3937_v6b_ABF-0016784,4.88498130835069e-15,Repression
3347,ECH3937_v6b_ABF-0019635,6.21724893790088e-15,Repression
4010,ECH3937_v6b_ABF-0020612,6.21724893790088e-15,Activation
1348,ECH3937_v6b_ABF-0016678,6.43929354282591e-15,Activation
875,ECH3937_v6b_ABF-0015943,7.105427357601e-15,Repression
1940,ECH3937_v6b_ABF-0017558,7.105427357601e-15,Repression
815,ECH3937_v6b_ABF-0015868,9.32587340685131e-15,Repression
1741,ECH3937_v6b_ABF-0017257,1.06581410364015e-14,Repression
709,ECH3937_v6b_ABF-0015712,1.15463194561016e-14,Repression
4437,ECH3937_v6b_ABF-0047037,1.28785870856518e-14,Repression
2378,ECH3937_v6b_ABF-0018190,1.35447209004269e-14,Repression
4407,ECH3937_v6b_ABF-0046984,1.64313007644523e-14,Repression
1082,ECH3937_v6b_ABF-0016257,2.35367281220533e-14,Repression
4279,ECH3937_v6b_ABF-0046698,2.8199664825479e-14,Repression
1844,ECH3937_v6b_ABF-0017409,3.46389583683049e-14,Repression
2242,ECH3937_v6b_ABF-0017988,3.73034936274053e-14,Repression
208,ECH3937_v6b_ABF-0014882,4.13002965160558e-14,Repression
4439,ECH3937_v6b_ABF-0047042,4.70734562441066e-14,Repression
4042,ECH3937_v6b_ABF-0020670,4.75175454539567e-14,Repression
4352,ECH3937_v6b_ABF-0046890,5.90638649100583e-14,Repression
426,ECH3937_v6b_ABF-0015201,6.19504447740837e-14,Repression
4302,ECH3937_v6b_ABF-0046755,6.66133814775094e-14,Activation
975,ECH3937_v6b_ABF-0016090,6.70574706873595e-14,Repression
3702,ECH3937_v6b_ABF-0020178,6.83897383169096e-14,Repression
4025,ECH3937_v6b_ABF-0020642,7.41628980449605e-14,Repression
3772,ECH3937_v6b_ABF-0020287,7.74935671188359e-14,Activation
117,ECH3937_v6b_ABF-0014743,8.92619311798626e-14,Activation
240,ECH3937_v6b_ABF-0014930,9.63673585374636e-14,Repression
1090,ECH3937_v6b_ABF-0016270,9.81437153768638e-14,Repression
2777,ECH3937_v6b_ABF-0018773,9.9031893796564e-14,Repression
3746,ECH3937_v6b_ABF-0020242,1.35891298214119e-13,Activation
209,ECH3937_v6b_ABF-0014883,1.36779476633819e-13,Repression
3268,ECH3937_v6b_ABF-0019513,1.42330591756945e-13,Repression
1349,ECH3937_v6b_ABF-0016679,1.51434420558871e-13,Activation
1923,ECH3937_v6b_ABF-0017535,1.53654866608122e-13,Repression
4198,ECH3937_v6b_ABF-0046528,1.54543045027822e-13,Activation
572,ECH3937_v6b_ABF-0015528,1.55875312657372e-13,Repression
470,ECH3937_v6b_ABF-0015273,1.58095758706622e-13,Repression
3875,ECH3937_v6b_ABF-0020437,1.71640479607049e-13,Repression
3511,ECH3937_v6b_ABF-0019909,1.98729921407903e-13,Activation
140,ECH3937_v6b_ABF-0014780,2.04947170345804e-13,Repression
2910,ECH3937_v6b_ABF-0018980,2.07833750209829e-13,Activation
557,ECH3937_v6b_ABF-0015506,2.12940776123105e-13,Repression
3955,ECH3937_v6b_ABF-0020545,2.27373675443232e-13,Repression
4379,ECH3937_v6b_ABF-0046937,2.31370478331883e-13,Repression
4007,ECH3937_v6b_ABF-0020609,2.56017429478561e-13,Repression
3631,ECH3937_v6b_ABF-0020073,2.70006239588838e-13,Repression
570,ECH3937_v6b_ABF-0015523,2.71782596428238e-13,Repression
1941,ECH3937_v6b_ABF-0017559,3.36619621066347e-13,Repression
2869,ECH3937_v6b_ABF-0018917,3.49942297361849e-13,Repression
1350,ECH3937_v6b_ABF-0016680,4.02344824124157e-13,Repression
3861,ECH3937_v6b_ABF-0020418,4.16555678839359e-13,Repression
605,ECH3937_v6b_ABF-0015574,4.21440660147709e-13,Repression
2792,ECH3937_v6b_ABF-0018801,4.33875158023511e-13,Repression
3874,ECH3937_v6b_ABF-0020436,4.47641923528863e-13,Repression
3398,ECH3937_v6b_ABF-0019722,4.48530101948563e-13,Repression
325,ECH3937_v6b_ABF-0015052,4.73843186910017e-13,Repression
249,ECH3937_v6b_ABF-0014943,4.9604764740252e-13,Repression
4231,ECH3937_v6b_ABF-0046570,5.01820807130571e-13,Repression
392,ECH3937_v6b_ABF-0015153,5.84865489372532e-13,Repression
2767,ECH3937_v6b_ABF-0018762,6.36601882320065e-13,Repression
3352,ECH3937_v6b_ABF-0019646,6.55919762948542e-13,Repression
847,ECH3937_v6b_ABF-0015909,6.78568312650896e-13,Repression
1939,ECH3937_v6b_ABF-0017557,6.93667345785798e-13,Repression
1412,ECH3937_v6b_ABF-0016771,7.0654593287145e-13,Repression
1424,ECH3937_v6b_ABF-0016787,7.22089055216202e-13,Repression
2868,ECH3937_v6b_ABF-0018915,7.38742400585579e-13,Repression
25,ECH3937_v6b_ABF-0014533,7.49622586226906e-13,Repression
3356,ECH3937_v6b_ABF-0019653,7.64499574756883e-13,Repression
327,ECH3937_v6b_ABF-0015054,7.69606600670159e-13,Repression
239,ECH3937_v6b_ABF-0014929,7.75379760398209e-13,Repression
1360,ECH3937_v6b_ABF-0016693,7.7848838486716e-13,Repression
4262,ECH3937_v6b_ABF-0046671,8.05355782063089e-13,Repression
3263,ECH3937_v6b_ABF-0019507,8.25117751901416e-13,Repression
2399,ECH3937_v6b_ABF-0018222,8.5043083686287e-13,Repression
2492,ECH3937_v6b_ABF-0018361,8.897327319346e-13,Repression
3814,ECH3937_v6b_ABF-0020350,9.06830166513828e-13,Repression
1519,ECH3937_v6b_ABF-0016932,9.10604924797553e-13,Repression
1856,ECH3937_v6b_ABF-0017428,1.0360601265802e-12,Activation
2380,ECH3937_v6b_ABF-0018193,1.0635936575909e-12,Repression
4441,ECH3937_v6b_ABF-0047047,1.08446585045385e-12,Repression
1642,ECH3937_v6b_ABF-0017123,1.2152501227547e-12,Repression
3290,ECH3937_v6b_ABF-0019546,1.27231558622043e-12,Repression
4114,ECH3937_v6b_ABF-0020777,1.27520216608445e-12,Repression
2531,ECH3937_v6b_ABF-0018424,1.30651045537888e-12,Activation
2819,ECH3937_v6b_ABF-0018842,1.35358391162299e-12,Repression
2120,ECH3937_v6b_ABF-0017818,1.35402800083284e-12,Repression
2495,ECH3937_v6b_ABF-0018364,1.35669253609194e-12,Repression
3516,ECH3937_v6b_ABF-0019916,1.37623246132534e-12,Repression
210,ECH3937_v6b_ABF-0014884,1.4015455462868e-12,Repression
4235,ECH3937_v6b_ABF-0046578,1.49347201272576e-12,Activation
1267,ECH3937_v6b_ABF-0016553,1.63358215843346e-12,Repression
3815,ECH3937_v6b_ABF-0020352,1.67288405350519e-12,Repression
2833,ECH3937_v6b_ABF-0018858,1.72306613421824e-12,Repression
4213,ECH3937_v6b_ABF-0046550,1.78901338188098e-12,Repression
1880,ECH3937_v6b_ABF-0017471,1.87494464398696e-12,Repression
2834,ECH3937_v6b_ABF-0018859,1.93356441968717e-12,Repression
2788,ECH3937_v6b_ABF-0018791,2.06679118264219e-12,Activation
3265,ECH3937_v6b_ABF-0019509,2.17514894984561e-12,Repression
3304,ECH3937_v6b_ABF-0019566,2.26885177312397e-12,Repression
2913,ECH3937_v6b_ABF-0018986,2.56328291925456e-12,Repression
2768,ECH3937_v6b_ABF-0018763,2.60347299274599e-12,Repression
287,ECH3937_v6b_ABF-0014998,2.63433719283057e-12,Repression
558,ECH3937_v6b_ABF-0015508,2.67430522171708e-12,Repression
4094,ECH3937_v6b_ABF-0020751,2.70272693114748e-12,Repression
4011,ECH3937_v6b_ABF-0020613,2.84883228118815e-12,Repression
521,ECH3937_v6b_ABF-0015455,2.97561975060034e-12,Activation
295,ECH3937_v6b_ABF-0015009,3.14459569494829e-12,Repression
2478,ECH3937_v6b_ABF-0018342,3.25384164057141e-12,Repression
809,ECH3937_v6b_ABF-0015860,3.32156524507354e-12,Repression
4015,ECH3937_v6b_ABF-0020623,3.62643248763561e-12,Repression
255,ECH3937_v6b_ABF-0014951,3.64042129774589e-12,Repression
3289,ECH3937_v6b_ABF-0019545,3.95194987845571e-12,Repression
3315,ECH3937_v6b_ABF-0019579,3.99769106707026e-12,Repression
571,ECH3937_v6b_ABF-0015527,4.229505634612e-12,Repression
3642,ECH3937_v6b_ABF-0020088,4.30122604200278e-12,Repression
3954,ECH3937_v6b_ABF-0020544,4.40358860487322e-12,Repression
4027,ECH3937_v6b_ABF-0020646,4.42756942220512e-12,Repression
2504,ECH3937_v6b_ABF-0018377,4.93960428116225e-12,Repression
4074,ECH3937_v6b_ABF-0020714,5.23270315966329e-12,Repression
352,ECH3937_v6b_ABF-0015084,5.27444754538919e-12,Repression
3023,ECH3937_v6b_ABF-0019156,5.50981482660973e-12,Repression
2776,ECH3937_v6b_ABF-0018772,5.54623014181743e-12,Repression
127,ECH3937_v6b_ABF-0014764,5.56998891454441e-12,Repression
4478,ECH3937_v6b_ABF-0047109,5.66169333637845e-12,Repression
3366,ECH3937_v6b_ABF-0019667,5.7056581681536e-12,Repression
2126,ECH3937_v6b_ABF-0017827,5.75695047189129e-12,Repression
3540,ECH3937_v6b_ABF-0019948,5.8191229612703e-12,Repression
1482,ECH3937_v6b_ABF-0016874,5.87219162184738e-12,Repression
417,ECH3937_v6b_ABF-0015188,5.89750470680883e-12,Activation
3635,ECH3937_v6b_ABF-0020079,6.46371844936766e-12,Repression
846,ECH3937_v6b_ABF-0015908,6.58140208997793e-12,Repression
2043,ECH3937_v6b_ABF-0017716,6.97042423780658e-12,Repression
419,ECH3937_v6b_ABF-0015193,7.75801645147567e-12,Repression
1263,ECH3937_v6b_ABF-0016547,7.9445339196127e-12,Repression
2105,ECH3937_v6b_ABF-0017799,8.09063926965337e-12,Repression
2216,ECH3937_v6b_ABF-0017957,8.13549227984822e-12,Repression
3800,ECH3937_v6b_ABF-0020330,8.35109759123043e-12,Repression
3801,ECH3937_v6b_ABF-0020331,8.36131164305698e-12,Repression
2903,ECH3937_v6b_ABF-0018967,8.80850947737599e-12,Repression
3872,ECH3937_v6b_ABF-0020433,9.31343890897551e-12,Repression
1262,ECH3937_v6b_ABF-0016546,9.39337496674852e-12,Repression
2960,ECH3937_v6b_ABF-0019061,9.76374536776348e-12,Repression
56,ECH3937_v6b_ABF-0014584,1.05031539021638e-11,Repression
2820,ECH3937_v6b_ABF-0018843,1.06394892895878e-11,Repression
1098,ECH3937_v6b_ABF-0016281,1.16229248448008e-11,Repression
2131,ECH3937_v6b_ABF-0017832,1.18021148409753e-11,Repression
3284,ECH3937_v6b_ABF-0019538,1.20949916748714e-11,Activation
1080,ECH3937_v6b_ABF-0016254,1.21365140159924e-11,Repression
4115,ECH3937_v6b_ABF-0020778,1.21418430865106e-11,Repression
812,ECH3937_v6b_ABF-0015864,1.28714816582942e-11,Repression
2245,ECH3937_v6b_ABF-0017996,1.31152866345019e-11,Repression
2623,ECH3937_v6b_ABF-0018548,1.32196475988167e-11,Repression
496,ECH3937_v6b_ABF-0015415,1.33855149186957e-11,Repression
813,ECH3937_v6b_ABF-0015865,1.40374378787556e-11,Repression
2193,ECH3937_v6b_ABF-0017930,1.40758515954076e-11,Repression
845,ECH3937_v6b_ABF-0015907,1.53188572937779e-11,Repression
2493,ECH3937_v6b_ABF-0018362,1.6064927166326e-11,Repression
3529,ECH3937_v6b_ABF-0019933,1.6544765557569e-11,Repression
4549,ECH3937_v6b_ABF-0174088,1.74598113744651e-11,Repression
4181,ECH3937_v6b_ABF-0020869,1.75042202954501e-11,Repression
2420,ECH3937_v6b_ABF-0018255,1.79469772376706e-11,Repression
2364,ECH3937_v6b_ABF-0018171,1.81397119547455e-11,Repression
707,ECH3937_v6b_ABF-0015710,1.85687021314607e-11,Repression
2214,ECH3937_v6b_ABF-0017954,1.87576620902519e-11,Repression
2217,ECH3937_v6b_ABF-0017958,2.21715978909742e-11,Repression
2250,ECH3937_v6b_ABF-0018001,2.24340546139956e-11,Repression
1922,ECH3937_v6b_ABF-0017534,2.2945201294533e-11,Repression
3134,ECH3937_v6b_ABF-0019323,2.32747154882418e-11,Activation
990,ECH3937_v6b_ABF-0016115,2.38040698263831e-11,Repression
3660,ECH3937_v6b_ABF-0020117,2.38080666292717e-11,Repression
1,ECH3937_v6b_ABF-0014493,2.4935609133081e-11,Repression
4467,ECH3937_v6b_ABF-0047090,2.64201993616098e-11,Repression
4446,ECH3937_v6b_ABF-0047052,2.77209366572606e-11,Repression
2215,ECH3937_v6b_ABF-0017955,2.8010038732873e-11,Repression
3599,ECH3937_v6b_ABF-0020029,2.81494827447659e-11,Repression
1081,ECH3937_v6b_ABF-0016255,2.84390289095882e-11,Repression
3627,ECH3937_v6b_ABF-0020068,2.8691271580783e-11,Repression
2370,ECH3937_v6b_ABF-0018178,2.87976309465421e-11,Repression
2208,ECH3937_v6b_ABF-0017948,2.92690316427979e-11,Repression
3640,ECH3937_v6b_ABF-0020086,3.02353697634317e-11,Repression
1882,ECH3937_v6b_ABF-0017473,3.06221714652111e-11,Repression
4361,ECH3937_v6b_ABF-0046908,3.19824167149818e-11,Repression
4546,ECH3937_v6b_ABF-0174085,3.20103943352024e-11,Repression
3641,ECH3937_v6b_ABF-0020087,3.27031735025685e-11,Repression
1777,ECH3937_v6b_ABF-0017309,3.29913873997612e-11,Repression
1118,ECH3937_v6b_ABF-0016317,3.39419603534452e-11,Repression
252,ECH3937_v6b_ABF-0014947,3.48201467659237e-11,Repression
808,ECH3937_v6b_ABF-0015859,3.52682327786624e-11,Repression
3034,ECH3937_v6b_ABF-0019170,3.53201912162149e-11,Repression
3703,ECH3937_v6b_ABF-0020180,3.56668028445029e-11,Repression
20,ECH3937_v6b_ABF-0014527,3.64612784409246e-11,Repression
3421,ECH3937_v6b_ABF-0019761,3.72240016588421e-11,Activation
3216,ECH3937_v6b_ABF-0019438,3.76290110182254e-11,Repression
301,ECH3937_v6b_ABF-0015015,3.90254495385989e-11,Repression
2494,ECH3937_v6b_ABF-0018363,3.94035915007862e-11,Repression
2954,ECH3937_v6b_ABF-0019054,4.06625844107111e-11,Repression
4408,ECH3937_v6b_ABF-0046988,4.09716705007668e-11,Repression
949,ECH3937_v6b_ABF-0016051,4.13753475925205e-11,Repression
2957,ECH3937_v6b_ABF-0019058,4.17847978440022e-11,Repression
308,ECH3937_v6b_ABF-0015023,4.25641744072891e-11,Repression
2860,ECH3937_v6b_ABF-0018901,4.2662318122666e-11,Repression
3535,ECH3937_v6b_ABF-0019943,4.33053592985289e-11,Repression
3214,ECH3937_v6b_ABF-0019435,4.34319247233361e-11,Repression
559,ECH3937_v6b_ABF-0015510,4.43867165245138e-11,Repression
399,ECH3937_v6b_ABF-0015164,4.48161507904388e-11,Repression
2383,ECH3937_v6b_ABF-0018198,4.80944173375519e-11,Repression
2368,ECH3937_v6b_ABF-0018175,4.99551511268237e-11,Repression
1749,ECH3937_v6b_ABF-0017267,5.28384003217752e-11,Repression
1575,ECH3937_v6b_ABF-0017013,5.46891421038254e-11,Repression
953,ECH3937_v6b_ABF-0016056,5.51421130978724e-11,Repression
347,ECH3937_v6b_ABF-0015076,5.64117641488338e-11,Repression
