ID.ASAP,Left.End.ASAP,Right.End.ASAP,gene.orientation
ABF-0014493,2908358,2908759,1
ABF-0014494,2908830,2909252,-1
ABF-0014495,2909252,2912311,-1
ABF-0014498,3535576,3537039,-1
ABF-0014499,3533911,3535488,-1
ABF-0014501,3532971,3533318,-1
ABF-0014502,3532077,3532292,-1
ABF-0014503,3531341,3532033,-1
ABF-0014506,2240775,2242427,1
ABF-0014507,2242465,2242869,-1
ABF-0014508,2242970,2244082,1
ABF-0014509,2244211,2244699,-1
ABF-0014510,2244914,2245552,-1
ABF-0014516,2246221,2246826,-1
ABF-0014518,2247008,2247763,1
ABF-0014519,2568811,2569638,-1
ABF-0014520,2569719,2569928,-1
ABF-0014523,2572046,2572594,-1
ABF-0014524,2572846,2573178,-1
ABF-0014527,3659942,3660289,1
ABF-0014528,3660398,3661261,1
ABF-0014529,3023087,3023551,-1
ABF-0014530,3022756,3022941,1
ABF-0014532,3021915,3022274,1
ABF-0014533,3021866,3022141,-1
ABF-0014534,3021824,3022120,1
ABF-0014536,3019098,3020762,-1
ABF-0014537,3017535,3019019,1
ABF-0014540,2741332,2741682,1
ABF-0014541,2741687,2742595,1
ABF-0014543,2742588,2743199,1
ABF-0014545,2485326,2486111,-1
ABF-0014546,2485129,2485311,1
ABF-0014549,2484039,2484986,1
ABF-0014550,2483037,2483909,1
ABF-0014551,2482413,2483033,1
ABF-0014552,2480947,2482203,-1
ABF-0014554,2477024,2477878,-1
ABF-0014556,2477935,2478744,-1
ABF-0014557,2478966,2479817,-1
ABF-0014558,2471502,2472467,1
ABF-0014559,2470616,2471368,1
ABF-0014563,2212201,2213109,1
ABF-0014564,2213332,2214084,1
ABF-0014566,2214338,2214607,1
ABF-0014567,3921311,3921529,1
ABF-0014568,3920570,3921190,-1
ABF-0014571,3919845,3920195,-1
ABF-0014575,1905537,1905716,-1
ABF-0014576,1905443,1905658,-1
ABF-0014577,1904764,1905048,-1
ABF-0014578,1903913,1904722,-1
ABF-0014579,1903506,1903814,-1
ABF-0014581,1902804,1903211,-1
ABF-0014583,3003529,3003816,-1
ABF-0014584,3000256,3003453,1
ABF-0014585,3432012,3433100,-1
ABF-0014586,3430875,3431909,1
ABF-0014588,3430261,3430560,-1
ABF-0014594,2866122,2866589,1
ABF-0014596,2864665,2865777,-1
ABF-0014597,2864253,2864558,-1
ABF-0014600,2863423,2864156,-1
ABF-0014601,2862008,2863282,-1
ABF-0014604,2486291,2487193,1
ABF-0014605,2394289,2395230,-1
ABF-0014607,2395380,2395808,1
ABF-0014611,2096760,2097881,-1
ABF-0014615,2097985,2098848,-1
ABF-0014616,2098872,2099105,1
ABF-0014618,2099420,2101129,1
ABF-0014619,2101727,2102746,-1
ABF-0014622,4450082,4450975,-1
ABF-0014623,4449528,4450088,-1
ABF-0014625,2425037,2426158,1
ABF-0014632,2475660,2476013,1
ABF-0014633,2473954,2475486,-1
ABF-0014637,3128109,3128420,-1
ABF-0014639,3126671,3127954,1
ABF-0014642,2417244,2417936,1
ABF-0014644,2418299,2419000,1
ABF-0014645,2419120,2419761,1
ABF-0014647,2419754,2420374,1
ABF-0014650,2292586,2293464,1
ABF-0014651,2293752,2294261,1
ABF-0014654,2294813,2295553,1
ABF-0014656,2295640,2295858,-1
ABF-0014657,2295936,2297078,-1
ABF-0014663,2860230,2860844,1
ABF-0014664,2860921,2861847,-1
ABF-0014665,2868692,2869369,1
ABF-0014666,2869479,2869829,-1
ABF-0014670,2870085,2870258,-1
ABF-0014672,2870161,2871147,1
ABF-0014675,2871292,2871417,-1
ABF-0014676,2871768,2872793,1
ABF-0014682,3973293,3973745,-1
ABF-0014685,3776225,3776992,-1
ABF-0014690,3129435,3130361,1
ABF-0014700,3306666,3307235,-1
ABF-0014703,3305499,3306278,-1
ABF-0014704,3304735,3305424,-1
ABF-0014719,2759088,2760902,1
ABF-0014722,2761153,2762838,1
ABF-0014723,2762805,2763131,-1
ABF-0014726,2763866,2765410,1
ABF-0014727,2765478,2765777,-1
ABF-0014732,2766128,2766814,-1
ABF-0014733,2766948,2768222,1
ABF-0014734,2768271,2769872,-1
ABF-0014736,2769965,2770651,-1
ABF-0014737,2770641,2771489,-1
ABF-0014738,2771476,2772345,-1
ABF-0014739,2772342,2773382,-1
ABF-0014740,2773524,2774201,-1
ABF-0014741,2774341,2774577,-1
ABF-0014743,2774761,2775861,1
ABF-0014745,2776134,2777843,1
ABF-0014746,2777905,2778345,-1
ABF-0014748,2778585,2779337,1
ABF-0014749,2779334,2780689,1
ABF-0014750,2780765,2781349,1
ABF-0014756,2781695,2782513,1
ABF-0014758,2782824,2784374,1
ABF-0014759,2784458,2785177,1
ABF-0014762,2786607,2787305,1
ABF-0014764,2161040,2161534,1
ABF-0014765,2161652,2165182,1
ABF-0014766,2165407,2166021,1
ABF-0014767,2166029,2167372,1
ABF-0014768,2167479,2168774,1
ABF-0014769,2169068,2169682,1
ABF-0014771,2169862,2170467,-1
ABF-0014773,2170646,2171290,-1
ABF-0014774,2171578,2172453,-1
ABF-0014775,4902076,4903284,-1
ABF-0014776,4903357,4904349,-1
ABF-0014777,4904377,4904916,-1
ABF-0014778,4904922,4905548,-1
ABF-0014780,4906149,4907984,-1
ABF-0014781,4908231,4909601,-1
ABF-0014783,4909998,4912202,1
ABF-0014784,4912332,4912754,-1
ABF-0014785,4912775,4914157,-1
ABF-0014786,4914206,4915069,-1
ABF-0014787,4915123,4916664,-1
ABF-0014789,4916677,4917210,-1
ABF-0014791,4917225,4917695,-1
ABF-0014792,4917761,4918000,-1
ABF-0014794,4918050,4918841,-1
ABF-0014795,4918864,4919247,-1
ABF-0014797,4919868,4920488,-1
ABF-0014798,4920565,4922454,-1
ABF-0014799,32,475,-1
ABF-0014800,567,1031,-1
ABF-0014801,1178,2653,-1
ABF-0014802,2659,4155,-1
ABF-0014803,4431,6299,1
ABF-0014806,3916952,3918901,1
ABF-0014808,3915836,3916576,-1
ABF-0014811,3915172,3915378,-1
ABF-0014813,3913759,3915075,1
ABF-0014816,3912822,3913463,1
ABF-0014817,3912573,3912785,1
ABF-0014818,3910705,3912489,-1
ABF-0014819,3906953,3910708,-1
ABF-0014820,3906609,3906950,-1
ABF-0014821,3905998,3906528,1
ABF-0014824,3904099,3905685,-1
ABF-0014826,3903382,3904023,1
ABF-0014827,3902912,3903274,-1
ABF-0014828,3901914,3902735,-1
ABF-0014829,3900618,3901865,1
ABF-0014830,3899767,3900387,1
ABF-0014832,3898127,3899458,-1
ABF-0014833,3895152,3898001,-1
ABF-0014834,3893569,3894996,-1
ABF-0014835,3891506,3893557,-1
ABF-0014836,3891277,3891498,-1
ABF-0014838,3890571,3890939,1
ABF-0014839,3890097,3890447,1
ABF-0014841,3889615,3889947,1
ABF-0014843,3887920,3889455,1
ABF-0014845,3885757,3887331,1
ABF-0014846,3885574,3885741,-1
ABF-0014850,3883493,3884845,-1
ABF-0014852,3882111,3883472,-1
ABF-0014853,3880755,3882095,-1
ABF-0014854,3879914,3880684,-1
ABF-0014855,3878955,3879839,-1
ABF-0014857,3877541,3878683,-1
ABF-0014858,3874669,3877434,1
ABF-0014860,3873274,3874608,-1
ABF-0014861,3871027,3873264,-1
ABF-0014863,3870014,3870817,-1
ABF-0014865,3868150,3869787,-1
ABF-0014866,3866754,3868052,-1
ABF-0014868,3864253,3866433,-1
ABF-0014869,3863193,3864329,-1
ABF-0014870,3861323,3862897,-1
ABF-0014871,3860104,3861243,-1
ABF-0014872,3859059,3860033,1
ABF-0014874,3858183,3858854,-1
ABF-0014875,3857775,3858143,1
ABF-0014876,3856265,3857644,1
ABF-0014878,3854484,3855773,-1
ABF-0014879,3852729,3854438,1
ABF-0014882,3850613,3852436,-1
ABF-0014883,3848898,3850613,-1
ABF-0014884,3848151,3848885,-1
ABF-0014887,3846269,3847690,-1
ABF-0014888,3845344,3846252,-1
ABF-0014890,241974,243158,1
ABF-0014892,243393,243776,1
ABF-0014893,243778,244323,1
ABF-0014894,244472,244900,1
ABF-0014896,244904,245608,1
ABF-0014898,245953,246450,1
ABF-0014902,247206,251234,1
ABF-0014903,251342,255565,1
ABF-0014904,256044,257141,1
ABF-0014905,257111,257332,1
ABF-0014909,258160,259596,1
ABF-0014910,259697,260464,-1
ABF-0014911,260457,261059,-1
ABF-0014912,261086,261709,-1
ABF-0014914,261875,262546,1
ABF-0014915,262543,264006,1
ABF-0014916,264020,265273,-1
ABF-0014917,265273,266052,-1
ABF-0014919,266054,266254,-1
ABF-0014920,266251,267000,-1
ABF-0014921,267002,267637,-1
ABF-0014922,267637,269622,-1
ABF-0014923,269940,270389,-1
ABF-0014924,270493,271266,1
ABF-0014926,271322,272395,1
ABF-0014928,272395,273069,1
